d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
42,74,0.18,0.611,0.39549999999999996,0.431,
12,72,,,,,no_o2_crossover
42,14,,,,,no_o1_crossover
77,75,0.227,0.493,0.36,0.266,
88,41,,,,,no_o2_crossover
57,68,,,,,no_o1_crossover
18,64,0.428,0.499,0.4635,0.07100000000000001,
5,86,3.643,10.0,6.8215,6.357,
8,19,0.477,0.64,0.5585,0.16300000000000003,
9,72,,,,,no_o2_crossover
39,61,0.402,0.59,0.496,0.18799999999999994,
2,50,0.294,0.597,0.4455,0.303,
46,63,,,,,no_o1_crossover
78,58,,,,,no_o2_crossover
6,58,5.254,10.0,7.627,4.746,
35,88,,,,,no_o2_crossover
33,55,,,,,no_o1_crossover
76,13,0.624,3.344,1.984,2.7199999999999998,
14,53,8.384,10.0,9.192,1.6159999999999997,
8,58,,,,,no_o2_crossover
4,67,,,,,no_o1_crossover
58,33,,,,,no_o2_crossover
78,50,0.339,0.491,0.41500000000000004,0.15199999999999997,
97,91,,,,,no_o1_crossover
62,76,,,,,no_o1_crossover
8,72,0.509,0.574,0.5415,0.06499999999999995,
11,83,,,,,no_o2_crossover
70,50,0.399,0.641,0.52,0.242,
70,33,0.459,0.519,0.489,0.06,
85,49,0.422,0.545,0.48350000000000004,0.12300000000000005,
71,19,0.495,0.543,0.519,0.04800000000000004,
72,33,3.852,10.0,6.926,6.148,
32,75,0.263,0.529,0.396,0.266,
6,20,,,,,no_o2_crossover
21,8,6.202,10.0,8.100999999999999,3.798,
10,66,,,,,no_o1_crossover
89,15,,,,,no_o2_crossover
87,85,,,,,no_o1_crossover
92,95,0.512,0.578,0.5449999999999999,0.06599999999999995,
45,61,,,,,no_o2_crossover
17,73,7.259,10.0,8.6295,2.7409999999999997,
87,4,,,,,no_o2_crossover
9,68,,,,,no_o1_crossover
95,35,,,,,no_o1_crossover
11,81,,,,,no_o2_crossover
53,33,0.433,0.506,0.46950000000000003,0.07300000000000001,
43,60,,,,,no_o1_crossover
10,81,,,,,no_o1_crossover
47,3,,,,,no_o2_crossover
77,9,0.357,0.738,0.5475,0.381,
91,21,,,,,no_o2_crossover
86,94,0.43,0.643,0.5365,0.21300000000000002,
81,45,,,,,no_o2_crossover
17,67,,,,,no_o1_crossover
17,35,0.465,1.218,0.8415,0.7529999999999999,
43,58,,,,,no_o1_crossover
17,24,0.285,0.529,0.40700000000000003,0.24400000000000005,
43,90,,,,,no_o2_crossover
12,62,0.331,0.679,0.505,0.34800000000000003,
19,1,,,,,no_o2_crossover
65,43,,,,,no_o2_crossover
33,75,,,,,no_o2_crossover
43,99,0.56,0.785,0.6725000000000001,0.22499999999999998,
8,63,0.315,0.572,0.4435,0.25699999999999995,
97,24,0.228,0.531,0.3795,0.30300000000000005,
0,45,0.35,0.549,0.4495,0.19900000000000007,
21,82,,,,,no_o2_crossover
19,88,1.193,6.853,4.023,5.66,
12,21,,,,,no_o1_crossover
74,13,,,,,no_o1_crossover
98,79,,,,,no_o2_crossover
26,43,0.425,1.457,0.9410000000000001,1.032,
10,26,7.893,10.0,8.9465,2.107,
22,79,,,,,no_o1_crossover
58,30,1.076,9.319,5.197500000000001,8.243,
65,54,0.27,0.44,0.355,0.16999999999999998,
43,74,0.43,0.723,0.5765,0.293,
52,74,0.272,0.431,0.35150000000000003,0.15899999999999997,
1,74,0.185,0.549,0.367,0.36400000000000005,
77,56,0.289,0.463,0.376,0.17400000000000004,
52,14,,,,,no_o1_crossover
63,17,,,,,no_o1_crossover
56,95,,,,,no_o1_crossover
90,85,,,,,no_o1_crossover
96,26,,,,,no_o2_crossover
90,64,9.72,10.0,9.86,0.27999999999999936,
43,71,,,,,no_o1_crossover
95,90,,,,,no_o1_crossover
25,75,0.341,0.405,0.373,0.064,
51,30,0.69,0.799,0.7444999999999999,0.1090000000000001,
97,16,,,,,no_o2_crossover
45,53,,,,,no_o1_crossover
75,47,,,,,no_o1_crossover
74,81,,,,,no_o2_crossover
36,78,,,,,no_o1_crossover
26,77,,,,,no_o1_crossover
70,36,0.483,0.629,0.556,0.14600000000000002,
34,42,,,,,no_o2_crossover
8,80,0.281,0.526,0.4035,0.245,
26,73,,,,,no_o1_crossover
14,50,0.329,0.483,0.406,0.15399999999999997,
30,43,0.333,0.624,0.47850000000000004,0.291,
67,66,9.118,10.0,9.559000000000001,0.8819999999999997,
69,93,,,,,no_o2_crossover
10,27,,,,,no_o1_crossover
58,28,,,,,no_o2_crossover
76,16,7.228,10.0,8.614,2.7720000000000002,
1,7,0.231,0.58,0.40549999999999997,0.349,
9,77,,,,,no_o1_crossover
57,3,,,,,no_o1_crossover
6,92,0.337,0.574,0.4555,0.23699999999999993,
71,55,,,,,no_o2_crossover
54,66,,,,,no_o1_crossover
64,89,,,,,no_o1_crossover
36,20,,,,,no_o1_crossover
21,73,5.197,10.0,7.5985,4.803,
13,78,,,,,no_o2_crossover
88,30,,,,,no_o1_crossover
31,40,8.56,10.0,9.280000000000001,1.4399999999999995,
90,4,,,,,no_o2_crossover
16,44,,,,,no_o2_crossover
99,67,,,,,no_o1_crossover
62,50,6.253,10.0,8.1265,3.747,
33,40,,,,,no_o1_crossover
69,87,0.395,0.459,0.42700000000000005,0.064,
93,25,0.408,0.438,0.423,0.030000000000000027,
87,79,,,,,no_o1_crossover
79,59,,,,,no_o1_crossover
99,0,,,,,no_o1_crossover
40,69,0.842,1.127,0.9844999999999999,0.28500000000000003,
35,50,,,,,no_o2_crossover
12,24,0.318,0.65,0.484,0.332,
93,22,0.327,0.456,0.3915,0.129,
95,70,,,,,no_o1_crossover
65,99,0.304,0.615,0.4595,0.311,
43,3,,,,,no_o1_crossover
23,84,,,,,no_o1_crossover
4,32,,,,,no_o1_crossover
17,1,7.7,10.0,8.85,2.3,
18,86,,,,,no_o2_crossover
12,37,,,,,no_o2_crossover
30,11,4.841,10.0,7.4205000000000005,5.159,
76,87,,,,,no_o2_crossover
15,89,,,,,no_o2_crossover
34,11,,,,,no_o2_crossover
6,45,0.343,0.497,0.42000000000000004,0.15399999999999997,
17,9,,,,,no_o1_crossover
46,98,,,,,no_o1_crossover
11,19,0.528,0.552,0.54,0.02400000000000002,
82,80,0.267,0.39,0.3285,0.123,
78,78,,,,,no_o1_crossover
46,51,,,,,no_o1_crossover
54,71,,,,,no_o1_crossover
20,96,,,,,no_o1_crossover
84,62,0.235,0.608,0.4215,0.373,
49,70,,,,,no_o1_crossover
67,42,,,,,no_o2_crossover
89,8,8.576,10.0,9.288,1.4239999999999995,
5,20,0.359,0.439,0.399,0.08000000000000002,
83,56,0.293,0.401,0.347,0.10800000000000004,
2,82,,,,,no_o2_crossover
70,81,,,,,no_o2_crossover
38,46,,,,,no_o2_crossover
4,17,,,,,no_o1_crossover
97,51,,,,,no_o1_crossover
17,71,6.812,10.0,8.406,3.1879999999999997,
52,27,,,,,no_o1_crossover
42,28,,,,,no_o1_crossover
52,35,,,,,no_o1_crossover
49,37,,,,,no_o2_crossover
10,76,,,,,no_o1_crossover
1,91,6.17,10.0,8.085,3.83,
64,54,0.336,0.594,0.46499999999999997,0.25799999999999995,
70,41,0.457,0.576,0.5165,0.11899999999999994,
23,95,,,,,cannot_determine_o1_dominance
81,35,1.122,9.147,5.1345,8.025,
51,22,0.241,0.568,0.40449999999999997,0.32699999999999996,
74,61,7.123,10.0,8.5615,2.877,
16,56,0.296,0.496,0.396,0.2,
80,64,,,,,no_o1_crossover
30,65,,,,,no_o2_crossover
38,1,7.207,10.0,8.6035,2.793,
67,4,0.359,0.437,0.398,0.07800000000000001,
25,14,,,,,no_o1_crossover
98,1,5.69,10.0,7.845000000000001,4.31,
87,23,,,,,no_o2_crossover
70,62,0.303,0.642,0.47250000000000003,0.339,
12,13,,,,,no_o1_crossover
