LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
3,100,64,1,5,False,False,True,True,0.01,2,0.9927978515625,2500,28.015270471572876,96806,54464,8192,1024,cuda
3,100,64,1,6,False,False,True,True,0.01,0,0.9923502604166666,2500,32.797311782836914,113446,62656,8192,1024,cuda
3,100,64,1,6,False,False,True,True,0.01,1,0.9931640625,2500,32.942859411239624,113446,62656,8192,1024,cuda
3,100,64,1,6,False,False,True,True,0.01,2,0.9924723307291666,2500,32.87561011314392,113446,62656,8192,1024,cuda
3,100,64,1,7,False,False,True,True,0.01,0,0.9918619791666666,5000,75.19465374946594,130086,70848,8192,1024,cuda
3,100,64,1,7,False,False,True,True,0.01,1,0.9912516276041666,5000,74.61193013191223,130086,70848,8192,1024,cuda
3,100,64,1,7,False,False,True,True,0.01,2,0.9911702473958334,5000,75.1094560623169,130086,70848,8192,1024,cuda
3,100,64,1,8,False,False,True,True,0.01,0,0.8943684895833334,50000,848.0764153003693,146726,79040,8192,1024,cuda
3,100,64,1,8,False,False,True,True,0.01,1,0.9739583333333334,50000,848.7681975364685,146726,79040,8192,1024,cuda
3,100,64,1,8,False,False,True,True,0.01,2,0.975830078125,50000,849.499029636383,146726,79040,8192,1024,cuda
3,100,64,1,9,False,False,True,True,0.01,0,0.9512125651041666,50000,967.961585521698,163366,87232,8192,1024,cuda
3,100,64,1,9,False,False,True,True,0.01,1,0.9184977213541666,50000,968.3052871227264,163366,87232,8192,1024,cuda
3,100,64,1,9,False,False,True,True,0.01,2,0.9099527994791666,50000,967.5918033123016,163366,87232,8192,1024,cuda
3,100,64,1,10,False,False,True,True,0.01,0,0.942138671875,50000,1071.140396118164,180006,95424,8192,1024,cuda
3,100,64,1,10,False,False,True,True,0.01,1,0.9159749348958334,50000,1080.204636335373,180006,95424,8192,1024,cuda
3,100,64,1,10,False,False,True,True,0.01,2,0.8866780598958334,50000,1075.2527313232422,180006,95424,8192,1024,cuda
4,100,64,1,1,False,False,True,True,0.01,0,0.010284423828125,50000,246.67457580566406,30374,21824,8192,1024,cuda
4,100,64,1,1,False,False,True,True,0.01,1,0.00927734375,50000,246.0425317287445,30374,21824,8192,1024,cuda
4,100,64,1,1,False,False,True,True,0.01,2,0.009307861328125,50000,246.03538060188293,30374,21824,8192,1024,cuda
4,100,64,1,2,False,False,True,True,0.01,0,0.263519287109375,50000,355.8482494354248,47014,30016,8192,1024,cuda
4,100,64,1,2,False,False,True,True,0.01,1,0.26812744140625,50000,355.00036334991455,47014,30016,8192,1024,cuda
4,100,64,1,2,False,False,True,True,0.01,2,0.36639404296875,50000,355.45911026000977,47014,30016,8192,1024,cuda
4,100,64,1,3,False,False,True,True,0.01,0,0.874298095703125,50000,465.7325236797333,63654,38208,8192,1024,cuda
4,100,64,1,3,False,False,True,True,0.01,1,0.8004150390625,50000,466.3347556591034,63654,38208,8192,1024,cuda
4,100,64,1,3,False,False,True,True,0.01,2,0.8779296875,50000,465.5299994945526,63654,38208,8192,1024,cuda
4,100,64,1,4,False,False,True,True,0.01,0,0.980560302734375,50000,574.7674741744995,80294,46400,8192,1024,cuda
4,100,64,1,4,False,False,True,True,0.01,1,0.9857177734375,50000,574.0989439487457,80294,46400,8192,1024,cuda
4,100,64,1,4,False,False,True,True,0.01,2,0.937042236328125,50000,574.4355211257935,80294,46400,8192,1024,cuda
4,100,64,1,5,False,False,True,True,0.01,0,0.987548828125,50000,683.6595435142517,96934,54592,8192,1024,cuda
4,100,64,1,5,False,False,True,True,0.01,1,0.988372802734375,50000,684.3884739875793,96934,54592,8192,1024,cuda
4,100,64,1,5,False,False,True,True,0.01,2,0.9906005859375,42500,581.1553671360016,96934,54592,8192,1024,cuda
4,100,64,1,6,False,False,True,True,0.01,0,0.990020751953125,32500,514.5028982162476,113574,62784,8192,1024,cuda
4,100,64,1,6,False,False,True,True,0.01,1,0.990814208984375,10000,156.7921540737152,113574,62784,8192,1024,cuda
4,100,64,1,6,False,False,True,True,0.01,2,0.990936279296875,5000,78.3049898147583,113574,62784,8192,1024,cuda
4,100,64,1,7,False,False,True,True,0.01,0,0.990234375,17500,315.56511878967285,130214,70976,8192,1024,cuda
4,100,64,1,7,False,False,True,True,0.01,1,0.990875244140625,37500,686.1026763916016,130214,70976,8192,1024,cuda
4,100,64,1,7,False,False,True,True,0.01,2,0.9898681640625,50000,916.3324728012085,130214,70976,8192,1024,cuda
4,100,64,1,8,False,False,True,True,0.01,0,0.985565185546875,50000,1034.0998878479004,146854,79168,8192,1024,cuda
4,100,64,1,8,False,False,True,True,0.01,1,0.98138427734375,50000,1034.0772037506104,146854,79168,8192,1024,cuda
4,100,64,1,8,False,False,True,True,0.01,2,0.97454833984375,50000,1034.792625427246,146854,79168,8192,1024,cuda
4,100,64,1,9,False,False,True,True,0.01,0,0.938751220703125,50000,1161.971429824829,163494,87360,8192,1024,cuda
4,100,64,1,9,False,False,True,True,0.01,1,0.858123779296875,50000,1160.3888330459595,163494,87360,8192,1024,cuda
