d1,d2,feat_orig,o1_crossovers,o2_crossovers,n_o1_xover,n_o2_xover
79,8,0.0,[],[],0,0
98,27,2.1095290184020996,[0.555],"[0.315, 5.005]",1,2
42,74,3.9029500484466553,[0.611],"[0.18, 2.047]",1,2
12,72,3.555202007293701,[0.519],"[0.727, 1.924]",1,2
42,14,0.0,[],[],0,0
77,75,7.020079612731934,[0.493],"[0.227, 1.703]",1,2
88,41,1.2867226600646973,[0.165],"[0.306, 4.937]",1,2
57,68,0.0,[],[],0,0
18,64,3.9378743171691895,[0.499],"[0.428, 2.994]",1,2
5,86,3.3635668754577637,[1.226],"[1.206, 3.643]",1,2
8,19,4.8137359619140625,[0.64],"[0.477, 2.422]",1,2
9,72,3.9515628814697266,[0.569],"[0.578, 2.123]",1,2
39,61,2.090939521789551,[0.59],"[0.402, 3.444]",1,2
2,50,4.57389497756958,[0.597],"[0.294, 2.381]",1,2
46,63,1.0291541814804077,[],"[1.287, 4.712]",0,2
78,58,2.4803662300109863,[0.387],"[0.882, 4.399]",1,2
6,58,1.2279094457626343,[1.735],"[0.859, 5.254]",1,2
35,88,0.5950731039047241,[0.777],[],1,0
33,55,0.0,[],[],0,0
76,13,0.8473019003868103,[3.344],[0.624],1,1
14,53,1.5186665058135986,[1.935],"[1.652, 8.384]",1,2
8,58,3.1348016262054443,[0.455],"[0.82, 3.934]",1,2
4,67,0.0,[],[],0,0
58,33,1.6659295558929443,[0.347],"[0.387, 5.056]",1,2
78,50,3.95382022857666,[0.491],"[0.339, 2.42]",1,2
97,91,0.0,[],[],0,0
62,76,0.0,[],[],0,0
8,72,6.525105953216553,[0.574],"[0.509, 1.796]",1,2
11,83,2.4349045753479004,[0.521],"[0.569, 4.345]",1,2
70,50,7.558407306671143,[0.641],"[0.399, 1.97]",1,2
70,33,6.932012557983398,[0.519],"[0.459, 2.123]",1,2
85,49,1.765277624130249,[0.545],"[0.422, 4.263]",1,2
71,19,5.800522327423096,[0.543],"[0.495, 2.102]",1,2
72,33,1.9133682250976562,[1.317],"[1.217, 3.852]",1,2
32,75,5.224193572998047,[0.529],"[0.263, 1.865]",1,2
6,20,1.418123483657837,[0.237],"[0.434, 6.221]",1,2
21,8,2.3122708797454834,[1.86],"[1.045, 6.202]",1,2
10,66,0.0,[],[],0,0
89,15,1.087820291519165,[2.177],[1.481],1,1
87,85,0.0,[],[],0,0
92,95,2.878779888153076,[0.578],"[0.512, 2.044]",1,2
45,61,1.3284900188446045,[0.222],"[0.853, 4.35]",1,2
17,73,1.372915267944336,[1.436],"[1.152, 7.259]",1,2
87,4,2.3870856761932373,[0.372],"[0.561, 2.225]",1,2
9,68,0.0,[],[],0,0
95,35,0.0,[],[],0,0
11,81,3.7752695083618164,[0.581],"[0.651, 3.087]",1,2
53,33,3.70833158493042,[0.506],"[0.433, 2.993]",1,2
43,60,0.0,[],[],0,0
10,81,0.0,[],[],0,0
47,3,3.5258231163024902,[0.539],"[0.814, 3.87]",1,2
77,9,4.240482330322266,[0.738],"[0.357, 3.167]",1,2
91,21,4.336962699890137,[0.635],"[0.756, 3.301]",1,2
86,94,3.4709668159484863,[0.643],"[0.43, 3.557]",1,2
81,45,1.7773935794830322,[0.295],"[0.755, 3.732]",1,2
17,67,1.587036371231079,[],[],0,0
17,35,1.2330741882324219,[1.218],[0.465],1,1
43,58,0.0,[],[],0,0
17,24,4.966425895690918,[0.529],"[0.285, 1.872]",1,2
43,90,0.5479663610458374,[3.294],[1.13],1,1
12,62,3.1967127323150635,[0.679],"[0.331, 2.271]",1,2
19,1,1.0938645601272583,[2.692],[1.486],1,1
65,43,1.831094741821289,[0.264],"[0.423, 3.847]",1,2
33,75,3.5084104537963867,[0.384],"[0.41, 1.753]",1,2
43,99,3.0880799293518066,[0.785],"[0.56, 1.983]",1,2
8,63,4.027318954467773,[0.572],"[0.315, 2.668]",1,2
97,24,4.261641025543213,[0.531],"[0.228, 1.9]",1,2
0,45,3.298750162124634,[0.549],"[0.35, 3.195]",1,2
21,82,1.8071644306182861,[1.888],[1.002],1,1
19,88,1.0811312198638916,[0.996],"[1.193, 6.853]",1,2
12,21,0.0,[],[],0,0
74,13,0.0,[],[],0,0
98,79,2.06463885307312,[0.299],"[0.425, 4.583]",1,2
26,43,1.4349756240844727,[1.457],"[0.425, 5.507]",1,2
10,26,0.7886500954627991,[3.356],"[1.755, 7.893]",1,2
22,79,0.0,[],[],0,0
58,30,1.6268203258514404,[0.938],"[1.076, 9.319]",1,2
65,54,3.6162867546081543,[0.44],"[0.27, 1.983]",1,2
43,74,3.393509864807129,[0.723],"[0.43, 1.849]",1,2
52,74,3.528946876525879,[0.431],"[0.272, 1.885]",1,2
1,74,5.500699520111084,[0.549],"[0.185, 1.883]",1,2
77,56,6.320623397827148,[0.463],"[0.289, 1.839]",1,2
52,14,0.0,[],[],0,0
63,17,0.0,[],[],0,0
56,95,2.688002347946167,[],[],0,0
90,85,0.0,[],[],0,0
96,26,1.4911270141601562,[0.126],"[0.505, 4.218]",1,2
90,64,0.5088015794754028,[1.623],"[0.66, 9.72]",1,2
43,71,0.0,[],[],0,0
95,90,0.0,[],[],0,0
25,75,3.577719211578369,[0.405],"[0.341, 1.861]",1,2
51,30,6.659884929656982,[0.799],"[0.69, 2.358]",1,2
97,16,0.43023788928985596,[2.895],[2.099],1,1
45,53,0.0,[],[],0,0
75,47,0.0,[],[],0,0
74,81,0.525050699710846,[5.994],[2.346],1,1
36,78,0.0,[],[],0,0
26,77,0.0,[],[],0,0
70,36,6.913900375366211,[0.629],"[0.483, 2.19]",1,2
34,42,3.7731680870056152,[0.479],"[0.502, 3.02]",1,2
8,80,4.396650314331055,[0.526],"[0.281, 2.373]",1,2
26,73,0.0,[],[],0,0
14,50,2.895063638687134,[0.483],"[0.329, 2.915]",1,2
30,43,3.4474446773529053,[0.624],"[0.333, 2.976]",1,2
67,66,1.4672045707702637,[2.035],"[1.083, 9.118]",1,2
69,93,3.0003881454467773,[0.202],"[0.907, 3.245]",1,2
10,27,0.0,[],[],0,0
58,28,1.2986834049224854,[2.659],[1.039],1,1
76,16,1.3636019229888916,[1.606],"[1.003, 7.228]",1,2
1,7,5.618546009063721,[0.58],"[0.231, 1.897]",1,2
9,77,0.0,[],[],0,0
57,3,0.0,[],[],0,0
6,92,2.956871747970581,[0.574],"[0.337, 3.039]",1,2
71,55,4.241283893585205,[0.62],"[0.642, 3.131]",1,2
54,66,0.0,[],[],0,0
64,89,0.0,[],[],0,0
36,20,0.0,[],[],0,0
21,73,1.7825134992599487,[1.81],"[0.928, 5.197]",1,2
13,78,0.4509132504463196,[4.632],[2.414],1,1
88,30,0.0,[],[],0,0
31,40,3.3377699851989746,[3.793],"[0.911, 8.56]",1,2
90,4,2.6827118396759033,[0.299],"[0.516, 2.181]",1,2
16,44,1.9526152610778809,[0.481],"[0.714, 5.016]",1,2
99,67,0.0,[],[],0,0
62,50,1.2502180337905884,[2.087],"[1.059, 6.253]",1,2
33,40,0.0,[],[],0,0
69,87,2.8786845207214355,[0.459],"[0.395, 3.557]",1,2
93,25,2.1707794666290283,[0.438],"[0.408, 4.592]",1,2
87,79,0.0,[],[],0,0
79,59,0.0,[],[],0,0
99,0,0.0,[],[],0,0
40,69,4.128873825073242,[1.127],"[0.842, 4.064]",1,2
35,50,2.192892551422119,[0.23],"[0.292, 3.014]",1,2
12,24,3.8427953720092773,[0.65],"[0.318, 1.908]",1,2
93,22,4.0839433670043945,[0.456],"[0.327, 2.352]",1,2
95,70,0.0,[],[],0,0
65,99,3.59470796585083,[0.615],"[0.304, 2.164]",1,2
43,3,0.0,[],[],0,0
23,84,0.0,[],[],0,0
4,32,0.0,[],[],0,0
17,1,1.5785845518112183,[1.88],"[0.995, 7.7]",1,2
18,86,4.793526649475098,[2.651],[],1,0
12,37,0.3925844132900238,[4.628],[1.985],1,1
30,11,2.695188522338867,[1.524],"[0.802, 4.841]",1,2
76,87,1.695746898651123,[0.324],"[0.41, 5.3]",1,2
15,89,2.5306448936462402,[0.668],"[0.696, 4.239]",1,2
34,11,5.225966930389404,[0.529],"[0.83, 2.527]",1,2
6,45,1.9985451698303223,[0.497],"[0.343, 4.362]",1,2
17,9,1.1393790245056152,[],"[0.782, 8.223]",0,2
46,98,0.0,[],[],0,0
11,19,4.5575151443481445,[0.552],"[0.528, 2.394]",1,2
82,80,3.3494086265563965,[0.39],"[0.267, 2.69]",1,2
78,78,2.8836798667907715,[],[],0,0
46,51,0.0,[],[],0,0
54,71,0.0,[],[],0,0
20,96,0.0,[],[],0,0
84,62,5.350620746612549,[0.608],"[0.235, 2.043]",1,2
49,70,0.0,[],[],0,0
67,42,1.1596171855926514,[0.325],"[0.761, 6.889]",1,2
89,8,1.5015215873718262,[1.881],"[1.412, 8.576]",1,2
5,20,2.724900245666504,[0.439],"[0.359, 3.927]",1,2
83,56,2.7630319595336914,[0.401],"[0.293, 2.619]",1,2
2,82,3.490544557571411,[0.662],"[0.675, 3.386]",1,2
70,81,8.104350090026855,[0.621],"[0.633, 2.055]",1,2
38,46,2.292954683303833,[0.426],"[0.701, 3.481]",1,2
4,17,0.0,[],[],0,0
97,51,0.0,[],[],0,0
17,71,1.9612034559249878,[1.661],"[1.604, 6.812]",1,2
52,27,0.0,[],[],0,0
42,28,0.0,[],[],0,0
52,35,0.0,[],[],0,0
49,37,0.5437164902687073,[2.793],[2.653],1,1
10,76,0.0,[],[],0,0
1,91,2.844966411590576,[1.737],"[1.258, 6.17]",1,2
64,54,3.3120055198669434,[0.594],"[0.336, 2.085]",1,2
70,41,7.234065055847168,[0.576],"[0.457, 2.008]",1,2
23,95,2.5391311645507812,[4.158],"[0.007, 7.678]",1,2
81,35,0.9692041277885437,[0.767],"[1.122, 9.147]",1,2
51,22,6.749062538146973,[0.568],"[0.241, 1.867]",1,2
74,61,0.9599428772926331,[2.577],"[1.265, 7.123]",1,2
16,56,4.182249069213867,[0.496],"[0.296, 2.197]",1,2
80,64,0.0,[],[],0,0
30,65,2.268258571624756,[0.238],"[0.608, 4.334]",1,2
38,1,1.7948466539382935,[1.822],"[1.291, 7.207]",1,2
67,4,3.8902668952941895,[0.437],"[0.359, 2.089]",1,2
25,14,0.0,[],[],0,0
98,1,2.254885196685791,[1.812],"[0.815, 5.69]",1,2
87,23,2.8293795585632324,[0.147],"[0.584, 1.651]",1,2
70,62,8.288737297058105,[0.642],"[0.303, 1.811]",1,2
12,13,0.0,[],[],0,0
73,66,2.0595123767852783,[],"[1.376, 2.329]",0,2
99,51,0.0,[],[],0,0
28,0,2.108022689819336,[1.754],"[1.245, 6.6]",1,2
25,84,0.0,[],[],0,0
19,60,0.9083379507064819,[2.314],[1.763],1,1
14,94,1.1390106678009033,[],[0.642],0,1
83,63,1.55489182472229,[0.671],"[0.223, 5.058]",1,2
73,6,2.0364434719085693,[0.343],"[0.833, 4.471]",1,2
50,43,1.293983817100525,[1.536],"[1.802, 2.261]",1,2
76,83,0.9045795202255249,[],[0.57],0,1
49,63,1.4280333518981934,[],[],0,0
59,45,1.9984643459320068,[0.676],"[0.348, 4.492]",1,2
95,14,0.0,[],[],0,0
31,41,3.4850878715515137,[0.505],"[0.264, 2.879]",1,2
2,98,3.677417755126953,[0.68],"[0.879, 3.223]",1,2
37,55,1.5669569969177246,[],[],0,0
3,68,2.0200579166412354,[2.13],"[1.284, 8.071]",1,2
61,85,0.0,[],[],0,0
73,13,1.432220220565796,[0.436],"[0.646, 6.314]",1,2
97,66,0.43301132321357727,[3.317],[2.259],1,1
25,67,0.0,[],[],0,0
27,61,1.4522817134857178,[0.242],"[0.549, 3.867]",1,2
18,74,6.4918622970581055,[0.652],"[0.142, 1.907]",1,2
55,91,1.1598025560379028,[2.476],[2.143],1,1
12,68,0.0,[],[],0,0
1,70,3.7885985374450684,[1.7],"[1.784, 5.299]",1,2
97,76,0.0,[],[],0,0
95,82,0.0,[],[],0,0
47,78,3.905057430267334,[],"[0.871, 3.554]",0,2
67,99,4.459047317504883,[0.49],"[0.298, 1.92]",1,2
42,48,0.0,[],[],0,0
39,56,3.117769718170166,[0.656],"[0.323, 2.449]",1,2
54,75,2.7856667041778564,[],[],0,0
16,66,2.130960702896118,[],[0.458],0,1
72,94,1.4690476655960083,[1.724],"[1.704, 5.747]",1,2
50,18,0.0,[],[],0,0
41,62,2.823927402496338,[0.318],"[0.57, 1.943]",1,2
