d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
42,28,,,,,no_o1_crossover
52,35,,,,,no_o1_crossover
49,37,,,,,no_o2_crossover_in_bounds
10,76,,,,,no_o1_crossover
1,91,1.737,10.0,5.8685,8.263,
64,54,0.0,0.336,0.168,0.336,
70,41,0.0,0.457,0.2285,0.457,
23,95,0.0,0.006,0.003,0.006,
81,35,1.122,9.147,5.1345,8.025,
51,22,0.0,0.242,0.121,0.242,
74,61,2.577,7.123,4.85,4.546,
16,56,0.0,0.296,0.148,0.296,
80,64,,,,,no_o1_crossover
30,65,,,,,no_o2_crossover_in_bounds
38,1,1.822,7.208,4.515000000000001,5.386,
67,4,0.0,0.359,0.1795,0.359,
25,14,,,,,no_o1_crossover
98,1,1.812,10.0,5.906,8.188,
87,23,,,,,no_o2_crossover_in_bounds
70,62,0.0,0.303,0.1515,0.303,
12,13,,,,,no_o1_crossover
73,66,,,,,no_o1_crossover
99,51,,,,,no_o1_crossover
28,0,1.754,6.6,4.177,4.846,
25,84,,,,,no_o1_crossover
19,60,,,,,no_o2_crossover_in_bounds
14,94,,,,,no_o1_crossover
83,63,0.0,0.222,0.111,0.222,
73,6,,,,,no_o2_crossover_in_bounds
50,43,1.536,10.0,5.768,8.464,
76,83,,,,,no_o1_crossover
49,63,,,,,no_o1_crossover
59,45,0.0,0.348,0.174,0.348,
95,14,,,,,no_o1_crossover
31,41,0.0,0.264,0.132,0.264,
2,98,,,,,no_o2_crossover_in_bounds
37,55,,,,,no_o1_crossover
3,68,2.13,8.071,5.1005,5.941,
61,85,,,,,no_o1_crossover
73,13,,,,,no_o2_crossover_in_bounds
97,66,,,,,no_o2_crossover_in_bounds
25,67,,,,,no_o1_crossover
27,61,,,,,no_o2_crossover_in_bounds
18,74,0.0,0.142,0.071,0.142,
55,91,,,,,no_o2_crossover_in_bounds
12,68,,,,,no_o1_crossover
1,70,1.7,10.0,5.85,8.3,
97,76,,,,,no_o1_crossover
95,82,,,,,no_o1_crossover
47,78,,,,,no_o1_crossover
67,99,0.0,0.298,0.149,0.298,
42,48,,,,,no_o1_crossover
39,56,0.0,0.322,0.161,0.322,
